scope,metric,train_size,n_cells,mean_reward,mean_logging_reward,mean_restored_ctr,mean_pct_vs_logging,frac_struggle,frac_worse_than_logging,frac_low_restore
all,mean_trials,5000,20,0.04838358943766745,0.04834466399554957,0.01656305601399246,0.08203550767048028,1.0,0.25,1.0
axis=action,mean_trials,5000,5,0.04819075621730981,0.04817510725013254,0.0014248294009748161,0.03313609079202285,1.0,0.2,1.0
axis=combined,mean_trials,5000,5,0.047686632574841056,0.047614204771747035,0.043282277173998726,0.15175331394867947,1.0,0.2,1.0
axis=context,mean_trials,5000,5,0.04879882928292575,0.04872548403788305,0.03774758918764194,0.15427927663773253,1.0,0.0,1.0
axis=metadata,mean_trials,5000,5,0.048858139675593146,0.04886385992243565,-0.01620247170664566,-0.011026650696513719,1.0,0.6,1.0
level=brutal,mean_trials,5000,4,0.04738790148629861,0.04736142250415731,0.005283267827192427,0.05780629829784033,1.0,0.25,1.0
level=extreme,mean_trials,5000,4,0.04775630714805763,0.04768088014711353,0.03183269452759641,0.15790106657861946,1.0,0.25,1.0
level=high,mean_trials,5000,4,0.04833330571326545,0.04831200788622676,-0.006486386494924024,0.0471565864168302,1.0,0.25,1.0
level=low,mean_trials,5000,4,0.04943258279247885,0.04941830073200257,0.014252773468397945,0.02905854899571531,1.0,0.5,1.0
level=medium,mean_trials,5000,4,0.049007850048236656,0.04895070870824765,0.037932930741699525,0.11825503806339609,1.0,0.0,1.0
all,mean_trials,25000,20,0.04840688802379714,0.04834466399554957,0.005982199412570331,0.1331561065801153,1.0,0.25,1.0
axis=action,mean_trials,25000,5,0.04817446332470067,0.04817510725013254,-0.01792833210386709,0.0007630004788328676,1.0,0.6,1.0
axis=combined,mean_trials,25000,5,0.04773476235219755,0.047614204771747035,0.04426346269233609,0.256955637532286,1.0,0.0,1.0
axis=context,mean_trials,25000,5,0.048799026637400114,0.04872548403788305,-0.0010945082933745804,0.1574112202148234,1.0,0.2,1.0
axis=metadata,mean_trials,25000,5,0.04891929978089023,0.04886385992243565,-0.0013118246448130895,0.11749456809451897,1.0,0.2,1.0
level=brutal,mean_trials,25000,4,0.047504286008688154,0.04736142250415731,0.05300137775125487,0.3026227298446895,1.0,0.0,1.0
level=extreme,mean_trials,25000,4,0.04778190298396799,0.04768088014711353,0.02900255671843763,0.2162080631319547,1.0,0.0,1.0
level=high,mean_trials,25000,4,0.04840284762022233,0.04831200788622676,0.026866709860087882,0.19336226384991428,1.0,0.25,1.0
level=low,mean_trials,25000,4,0.049377788115027826,0.04941830073200257,-0.08522525175013493,-0.0818032685023089,1.0,0.75,1.0
level=medium,mean_trials,25000,4,0.04896761539107939,0.04895070870824765,0.0062656044832062096,0.03539074457632692,1.0,0.25,1.0
all,mean_trials,50000,20,0.04844226486828565,0.04834466399554957,0.0315342088606405,0.20763752143709233,1.0,0.15,1.0
