dataset,noise_mode,noise_axis,noise_level,ctr,metric,n_train_small,n_train_large,R_at_n_small,R_at_n_large,reward_delta_large_minus_small,lift_pct_large_vs_small,slope_per_10k,restored_at_n_small,restored_at_n_large,restored_delta_large_minus_small,struggle_flat_learning,struggle_regress_learning,struggle_low_restore_at_large_n,struggle_learning
ml,kmeans_templates,action,brutal,0.05,mean_trials,5000,100000,0.04683779804106024,0.04703255785320899,0.0001947598121487537,0.4158176094828754,1.951340032818562e-05,0.0050935723044479965,0.06454605609586979,0.05945248379142179,True,False,True,True
ml,kmeans_templates,action,brutal,0.05,oracle,5000,100000,0.04730691355806404,0.04767363360385168,0.0003667200457876385,0.7751933453395347,3.343349107411553e-05,0.15126195111307852,0.2663879854581546,0.1151260343450761,False,False,False,False
ml,kmeans_templates,action,brutal,0.05,selected,5000,100000,0.04705860157294296,0.04700110783419502,-5.74937387479435e-05,-0.12217477108584623,2.7837029179152378e-06,0.07429730438602641,0.056175642896164855,-0.01812166148986156,True,False,True,True
ml,kmeans_templates,action,extreme,0.05,mean_trials,5000,100000,0.04738403505333676,0.047500966870271916,0.00011693181693515908,0.24677471389580363,1.416144845488784e-05,0.018938412826970646,0.06259996090625917,0.04366154807928853,True,False,True,True
ml,kmeans_templates,action,extreme,0.05,oracle,5000,100000,0.047925793639783776,0.048234901023106416,0.00030910738332264043,0.6449708181066963,3.795372443909796e-05,0.21870135983093472,0.3331983104670014,0.11449695063606666,False,False,False,False
ml,kmeans_templates,action,extreme,0.05,selected,5000,100000,0.047265719196078956,0.04742226190562104,0.00015654270954208044,0.33119713865491507,1.7284587720002788e-05,-0.023172985670282274,0.030538278570199417,0.05371126424048169,True,False,True,True
ml,kmeans_templates,action,high,0.05,mean_trials,5000,100000,0.04834881789826327,0.048482807018410984,0.00013398912014771225,0.2771300850201867,1.8540290803218286e-05,0.008309869127219899,0.0884032726779804,0.0800934035507605,True,False,True,True
ml,kmeans_templates,action,high,0.05,oracle,5000,100000,0.04883521554054956,0.0491259145436497,0.00029069900310014357,0.5952651173593494,3.409503913661934e-05,0.30032950117046825,0.4697799907743924,0.16945048960392417,False,False,False,False
ml,kmeans_templates,action,high,0.05,selected,5000,100000,0.04828063494445596,0.04840091903718246,0.00012028409272649837,0.24913527517788067,1.896763977412713e-05,-0.02893811396112883,0.039834924421918216,0.06877303838304705,True,False,True,True
ml,kmeans_templates,action,low,0.05,mean_trials,5000,100000,0.049392810583689425,0.04944048247120685,4.7671887517426736e-05,0.09651584300240049,5.7399556042168315e-06,-0.044238419570548825,0.03845315885972274,0.08269157843027156,True,False,True,True
