dataset,noise_mode,noise_axis,noise_level,train_size,seed,reward,initial_reward,ctr,action_delta,context_delta,conv_dr,conv_sndr,metric,pct_vs_initial,pct_vs_ctr,restored_ctr,reward_over_ctr
ml,kmeans_templates,action,brutal,5000,0,0.0466775048685765,0.0466157293267131,0.05,0.1926561146974563,0.1954318732023239,0.0495749525725841,0.0496544875204563,selected,0.13252080951138104,-6.644990262847011,0.01825372371985728,0.9335500973715299
ml,kmeans_templates,action,brutal,5000,1,0.0472780714096879,0.0472428440534382,0.05,0.2020438760519027,0.2159554660320282,0.0344339311122894,0.0345342606306076,selected,0.07456654432119945,-5.443857180624206,0.01277670067724349,0.945561428193758
ml,kmeans_templates,action,brutal,5000,2,0.0476028700045713,0.0469590268046477,0.05,0.2092653512954712,0.2182671427726745,0.0531145930290222,0.0530671514570713,selected,1.371074410468575,-4.794259990857405,0.2117227474769018,0.9520574000914259
ml,kmeans_templates,action,brutal,5000,3,0.0467613711234132,0.046602650168757,0.05,0.1981888711452484,0.207713782787323,0.0452227406203746,0.0452146716415882,selected,0.340583537806206,-6.477257753173606,0.04671904941803722,0.935227422468264
ml,kmeans_templates,action,brutal,5000,4,0.0469731904584659,0.0467027704858169,0.05,0.2199674546718597,0.2052857875823974,0.0421380251646041,0.0421227179467678,selected,0.5790234066116643,-6.053619083068201,0.08201430063809223,0.939463809169318
ml,kmeans_templates,action,brutal,25000,0,0.0462048623012678,0.0466157293267131,0.05,0.2296911776065826,0.2283162623643875,0.0543504692614078,0.0545232743024826,selected,-0.8813913916602694,-7.590275397464402,-0.12140489491233723,0.924097246025356
ml,kmeans_templates,action,brutal,25000,1,0.0472573520995273,0.0472428440534382,0.05,0.2233782857656479,0.2165798842906952,0.0479505360126495,0.0479518882930278,selected,0.030709510360321574,-5.4852958009454085,0.005261960647236081,0.9451470419905459
ml,kmeans_templates,action,brutal,25000,2,0.0469945118945466,0.0469590268046477,0.05,0.1740453541278839,0.1609041392803192,0.0452970936894416,0.0453051440417766,selected,0.07556606751354249,-6.010976210906806,0.011668991345644378,0.939890237890932
ml,kmeans_templates,action,brutal,25000,3,0.0468841307980894,0.046602650168757,0.05,0.1960016340017318,0.1948474794626236,0.0459613054990768,0.0459685437381267,selected,0.6040013353599243,-6.231738403821199,0.08285300110804883,0.937682615961788
ml,kmeans_templates,action,brutal,25000,4,0.0466730771384745,0.0467027704858169,0.05,0.2132045477628708,0.2138254195451736,0.0404966436326503,0.0404115915298461,selected,-0.06357941302735506,-6.653845723050999,-0.00900554456845319,0.93346154276949
ml,kmeans_templates,action,brutal,50000,0,0.0470674744772907,0.0466157293267131,0.05,0.2065006494522094,0.2028349786996841,0.0462181195616722,0.0462162382900714,selected,0.9690830908414497,-5.8650510454186096,0.13348375298210047,0.9413494895458139
ml,kmeans_templates,action,brutal,50000,1,0.0472410603243117,0.0472428440534382,0.05,0.1253972649574279,0.1137434244155883,0.0476150885224342,0.0476155690848827,selected,-0.0037756599168391382,-5.517879351376611,-0.0006469453165044264,0.9448212064862339
ml,kmeans_templates,action,brutal,50000,2,0.0469265757325951,0.0469590268046477,0.05,0.2019175589084625,0.182930901646614,0.0484873056411743,0.0484857410192489,selected,-0.06910507789608632,-6.146848534809803,-0.010671278557204213,0.938531514651902
ml,kmeans_templates,action,brutal,50000,3,0.0468585757341236,0.046602650168757,0.05,0.1945178508758545,0.1830073446035385,0.0446572639048099,0.0446249842643737,selected,0.5491652608593074,-6.282848531752802,0.07533094266979506,0.937171514682472
ml,kmeans_templates,action,brutal,50000,4,0.046650952669841,0.0467027704858169,0.05,0.1603000611066818,0.1508304625749588,0.0446431599557399,0.0446522198617458,selected,-0.11095233845203478,-6.69809466031801,-0.01571556233892882,0.9330190533968199
ml,kmeans_templates,action,brutal,100000,0,0.046812224320942,0.0466157293267131,0.05,0.2060777246952057,0.210944190621376,0.0486374013125896,0.0486435554921627,selected,0.421520797951557,-6.375551358116002,0.05806125254102607,0.93624448641884
