scope,metric,n_setups,frac_struggle,frac_flat,frac_regress,frac_low_restore,mean_total_lift_pct,mean_restored_end,mean_slope_per_10k
all,mean_trials,20,1.0,0.85,0.0,1.0,0.2806356693865866,0.07285286990493775,1.4221788891752206e-05
axis=action,mean_trials,5,1.0,1.0,0.0,1.0,0.22907749960715443,0.0653087483674065,1.3263915349143658e-05
axis=combined,mean_trials,5,1.0,0.6,0.0,1.0,0.5005729508740085,0.13075798516635803,2.4783132163778233e-05
axis=context,mean_trials,5,1.0,1.0,0.0,1.0,0.17424323505683734,0.07322108091432836,9.076233330064714e-06
axis=metadata,mean_trials,5,1.0,0.8,0.0,1.0,0.21864899200834603,0.022123665171658074,9.763874724022224e-06
level=brutal,mean_trials,4,1.0,0.75,0.0,1.0,0.44915954650552686,0.08238396514511019,1.988175295978098e-05
level=extreme,mean_trials,4,1.0,0.75,0.0,1.0,0.36169041507840416,0.0976537672114374,1.8679940957568985e-05
level=high,mean_trials,4,1.0,0.75,0.0,1.0,0.4428924223609526,0.0809222907921744,2.1242710607696896e-05
level=low,mean_trials,4,1.0,1.0,0.0,1.0,-0.005847747250322577,0.002157976494123387,1.3412081698977838e-06
level=medium,mean_trials,4,1.0,1.0,0.0,1.0,0.15528371023837187,0.10114634988184333,9.9633317638164e-06
all,oracle,20,0.6,0.6,0.05,0.0,0.3703595840865496,0.4432795242280876,1.969132792496289e-05
axis=action,oracle,5,0.4,0.4,0.0,0.0,0.4244090742364386,0.3750009597096004,2.2589003504694802e-05
axis=combined,oracle,5,0.6,0.6,0.0,0.0,0.6446062650964672,0.45352556870097266,3.3473520642526544e-05
axis=context,oracle,5,0.8,0.8,0.2,0.0,0.028461522617171005,0.500040629862047,5.326510895229044e-06
axis=metadata,oracle,5,0.6,0.6,0.0,0.0,0.38396147439612144,0.4445509386397305,1.7376276657401145e-05
level=brutal,oracle,4,0.25,0.25,0.25,0.0,0.6567079402534215,0.3799891341260847,2.687399025626025e-05
level=extreme,oracle,4,0.25,0.25,0.0,0.0,0.5512088932878552,0.46327666553029623,3.2287995441882296e-05
level=high,oracle,4,0.5,0.5,0.0,0.0,0.6218690255785098,0.503271741956728,3.43647554154067e-05
level=low,oracle,4,1.0,1.0,0.0,0.0,-0.055615567030273136,0.38202009265475756,-1.8351539022877884e-06
level=medium,oracle,4,1.0,1.0,0.0,0.0,0.07762762834323465,0.4878399868725717,6.7650524135529735e-06
all,selected,20,0.95,0.65,0.0,0.9,0.5564629113846455,0.09401464295514961,2.592736570224692e-05
axis=action,selected,5,1.0,0.8,0.0,1.0,0.22194350582546396,0.06964583840792149,1.2008714050417667e-05
axis=combined,selected,5,0.8,0.6,0.0,0.6,0.5228307503555667,0.15229540853104556,2.2909522244066094e-05
axis=context,selected,5,1.0,0.4,0.0,1.0,1.2154211853779322,0.1419118931931307,5.495563755333597e-05
axis=metadata,selected,5,1.0,0.8,0.0,1.0,0.26565620397961975,0.012205431688500653,1.3835588961167949e-05
level=brutal,selected,4,1.0,0.25,0.0,1.0,1.121935318574748,0.0930179719865517,4.524073352042332e-05
level=extreme,selected,4,1.0,0.75,0.0,1.0,0.45568584922262556,0.032098904058662246,1.8703894010446538e-05
level=high,selected,4,0.75,0.5,0.0,0.75,0.913825172211095,0.14550048466321694,4.246795754242894e-05
level=low,selected,4,1.0,1.0,0.0,1.0,0.01377262527604426,0.02987527746747346,1.1276509745866526e-05
level=medium,selected,4,1.0,0.75,0.0,0.75,0.277095591638715,0.16958057659984363,1.1947733692069272e-05
