dataset,noise_mode,noise_axis,noise_level,ctr,train_size,metric,opc,no_propensity,delta,delta_std,lift_pct,n_seeds,initial_reward,delta_se
ml,kmeans_templates,action,brutal,0.05,5000,mean_trials,0.04683779804106024,0.04690342440561537,-6.56263645551311e-05,0.0001340313911265573,-0.14007211060879993,5,0.04682460416787458,5.994066033556885e-05
ml,kmeans_templates,action,brutal,0.05,5000,oracle,0.04730691355806404,0.04733389383812826,-2.69802800642191e-05,9.75761642301767e-05,-0.05625397674506731,5,0.04682460416787458,4.3637387240471706e-05
ml,kmeans_templates,action,brutal,0.05,5000,selected,0.04705860157294296,0.04682746209286802,0.00023113948007493916,0.0004424325866027566,0.49638611559646384,5,0.04682460416787458,0.00019786186782096528
ml,kmeans_templates,action,brutal,0.05,25000,mean_trials,0.04691197646682635,0.047374384016207825,-0.00046240754938147723,0.00016961837657271132,-0.9759672406604848,5,0.04682460416787458,7.585564404994806e-05
ml,kmeans_templates,action,brutal,0.05,25000,oracle,0.04749324918478892,0.047961810514215844,-0.00046856132942691976,0.00039393143824678774,-0.9744024751969047,5,0.04682460416787458,0.00017617149487881558
ml,kmeans_templates,action,brutal,0.05,25000,selected,0.046802786846381124,0.04757546220496428,-0.0007726753585831595,0.0006949284673377049,-1.613725042476262,5,0.04682460416787458,0.0003107814584933701
ml,kmeans_templates,action,brutal,0.05,50000,mean_trials,0.046963007243635016,0.04760882051064058,-0.0006458132670055655,9.893614961831382e-05,-1.3566931161968878,5,0.04682460416787458,4.424559119572791e-05
ml,kmeans_templates,action,brutal,0.05,50000,oracle,0.047395118159785136,0.04808234414652198,-0.0006872259867368405,0.0001408448198133504,-1.429315385167342,5,0.04682460416787458,6.298771827627214e-05
ml,kmeans_templates,action,brutal,0.05,50000,selected,0.04694892778763242,0.04803385338909224,-0.0010849256014598212,0.0001791271912069015,-2.258603464377333,5,0.04682460416787458,8.010811523144686e-05
ml,kmeans_templates,action,brutal,0.05,100000,mean_trials,0.04703255785320899,0.047795239881988284,-0.0007626820287792921,9.828186585891816e-05,-1.5956584687861466,5,0.04682460416787458,4.3952986603211355e-05
ml,kmeans_templates,action,brutal,0.05,100000,oracle,0.04767363360385168,0.04810581195357522,-0.00043217834972354013,0.00020871028126204488,-0.898318992413374,5,0.04682460416787458,9.333807530100658e-05
ml,kmeans_templates,action,brutal,0.05,100000,selected,0.04700110783419502,0.048055154355274035,-0.0010540465210790203,0.00020146675230050027,-2.1942600538890495,5,0.04682460416787458,9.009867067000615e-05
ml,kmeans_templates,action,extreme,0.05,5000,mean_trials,0.04738403505333676,0.04754997282619293,-0.00016593777285617146,9.08114063240186e-05,-0.3490148749309826,5,0.04733241011515314,4.0612095534571976e-05
ml,kmeans_templates,action,extreme,0.05,5000,oracle,0.047925793639783776,0.04813505366771102,-0.00020926002792724245,0.00028736742070588903,-0.43272911833474426,5,0.04733241011515314,0.0001285146174434297
ml,kmeans_templates,action,extreme,0.05,5000,selected,0.047265719196078956,0.04778859728004568,-0.0005228780839667199,0.00042684753487111756,-1.0919269558048836,5,0.04733241011515314,0.00019089202080000616
ml,kmeans_templates,action,extreme,0.05,25000,mean_trials,0.04737514615253457,0.04806370396723174,-0.0006885578146971716,0.00027383602373959266,-1.4314541523902815,5,0.04733241011515314,0.00012246319275399507
ml,kmeans_templates,action,extreme,0.05,25000,oracle,0.047848689663322216,0.04874860531190164,-0.0008999156485794205,0.00034813699494581847,-1.8445620900672808,5,0.04733241011515314,0.00015569159723627016
ml,kmeans_templates,action,extreme,0.05,25000,selected,0.0472733288938287,0.04829023938925932,-0.0010169104954306188,0.00047521368283353813,-2.1011511577135633,5,0.04733241011515314,0.00021252201973076323
ml,kmeans_templates,action,extreme,0.05,50000,mean_trials,0.047492535757784816,0.048436173551070716,-0.0009436377932859035,0.00012857221651547558,-1.9479768060150335,5,0.04733241011515314,5.7499243229284905e-05
ml,kmeans_templates,action,extreme,0.05,50000,oracle,0.04805052268573728,0.04907277709782218,-0.0010222544120849011,0.00012511912545186613,-2.082727377307006,5,0.04733241011515314,5.595497395913935e-05
ml,kmeans_templates,action,extreme,0.05,50000,selected,0.04731993154183524,0.04893390416239588,-0.00161397262056064,0.0005368038495737568,-3.293967656631014,5,0.04733241011515314,0.00024006597964609835
ml,kmeans_templates,action,extreme,0.05,100000,mean_trials,0.047500966870271916,0.048740003090992357,-0.0012390362207204395,9.945988982072583e-05,-2.5422037756189924,5,0.04733241011515314,4.447981493475646e-05
ml,kmeans_templates,action,extreme,0.05,100000,oracle,0.048234901023106416,0.049175199236217014,-0.0009402982131105977,0.00029161910583416187,-1.9120938668066203,5,0.04733241011515314,0.0001304160288365783
ml,kmeans_templates,action,extreme,0.05,100000,selected,0.04742226190562104,0.04905729812466818,-0.0016350362190471397,0.0006109860904635534,-3.331123944894196,5,0.04733241011515314,0.00027324128631666826
ml,kmeans_templates,action,high,0.05,5000,mean_trials,0.04834881789826327,0.04866787876507952,-0.0003190608668162495,0.00018130413804799537,-0.6546696214143111,5,0.048331868542897075,8.108167545546473e-05
ml,kmeans_templates,action,high,0.05,5000,oracle,0.04883521554054956,0.0493177443949161,-0.00048252885436654016,0.000335215874180729,-0.9753348293152232,5,0.048331868542897075,0.0001499130963610253
ml,kmeans_templates,action,high,0.05,5000,selected,0.04828063494445596,0.0488732430910429,-0.0005926081465869399,0.0004753639113374231,-1.2096670384000288,5,0.048331868542897075,0.00021258920396013218
ml,kmeans_templates,action,high,0.05,25000,mean_trials,0.04827326275100115,0.049115635299677496,-0.0008423725486763512,0.00015435212473041378,-1.7147011581608484,5,0.048331868542897075,6.902836867374632e-05
