dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,method,reward,initial_reward,metric
ml,kmeans_templates,action,brutal,0.05,5000,0,no_propensity,0.0463707952422984,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,5000,0,opc,0.0466775048685765,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,5000,1,no_propensity,0.0471552284035294,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,5000,1,opc,0.0472780714096879,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,5000,2,no_propensity,0.0466471926002217,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,5000,2,opc,0.0476028700045713,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,5000,3,no_propensity,0.0469015397565872,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,5000,3,opc,0.0467613711234132,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,5000,4,no_propensity,0.0470625544617034,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,5000,4,opc,0.0469731904584659,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,25000,0,no_propensity,0.04794637536975,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,25000,0,opc,0.0462048623012678,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,25000,1,no_propensity,0.0478525133636322,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,25000,1,opc,0.0472573520995273,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,25000,2,no_propensity,0.0477926036917944,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,25000,2,opc,0.0469945118945466,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,25000,3,no_propensity,0.0466883618561284,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,25000,3,opc,0.0468841307980894,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,25000,4,no_propensity,0.0475974567435164,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,25000,4,opc,0.0466730771384745,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,50000,0,no_propensity,0.04800493035647,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,50000,0,opc,0.0470674744772907,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,50000,1,no_propensity,0.0481269953902792,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,50000,1,opc,0.0472410603243117,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,50000,2,no_propensity,0.0482354168926839,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,50000,2,opc,0.0469265757325951,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,50000,3,no_propensity,0.0479363819046791,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,50000,3,opc,0.0468585757341236,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,50000,4,no_propensity,0.047865542401349,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,50000,4,opc,0.046650952669841,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,100000,0,no_propensity,0.0478943503813754,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,100000,0,opc,0.046812224320942,0.0466157293267131,selected
ml,kmeans_templates,action,brutal,0.05,100000,1,no_propensity,0.0483022392586774,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,100000,1,opc,0.0472862573025648,0.0472428440534382,selected
ml,kmeans_templates,action,brutal,0.05,100000,2,no_propensity,0.0481982167725209,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,100000,2,opc,0.0474661642089234,0.0469590268046477,selected
ml,kmeans_templates,action,brutal,0.05,100000,3,no_propensity,0.0478845482805473,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,100000,3,opc,0.0466903280211652,0.046602650168757,selected
ml,kmeans_templates,action,brutal,0.05,100000,4,no_propensity,0.0479964170832492,0.0467027704858169,selected
ml,kmeans_templates,action,brutal,0.05,100000,4,opc,0.0467505653173797,0.0467027704858169,selected
ml,kmeans_templates,action,extreme,0.05,5000,0,no_propensity,0.0476746457284528,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,5000,0,opc,0.0471837106795001,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,5000,1,no_propensity,0.0477287575421842,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,5000,1,opc,0.0475571422040488,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,5000,2,no_propensity,0.0477999416226149,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,5000,2,opc,0.047495573526288,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,5000,3,no_propensity,0.0480834390453768,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,5000,3,opc,0.0468263372673214,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,5000,4,no_propensity,0.0476562024615997,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,5000,4,opc,0.0472658323032365,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,25000,0,no_propensity,0.0482277487583467,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,25000,0,opc,0.047604466684391,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,25000,1,no_propensity,0.0486873514893653,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,25000,1,opc,0.0474386102100634,0.0475615721433665,selected
ml,kmeans_templates,action,extreme,0.05,25000,2,no_propensity,0.0477470638655045,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,25000,2,opc,0.0473423748609416,0.0474672099741214,selected
ml,kmeans_templates,action,extreme,0.05,25000,3,no_propensity,0.0485127422487344,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,25000,3,opc,0.0470081857857004,0.0470871931671049,selected
ml,kmeans_templates,action,extreme,0.05,25000,4,no_propensity,0.0482762905843457,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,25000,4,opc,0.0469730069280471,0.0473316286445249,selected
ml,kmeans_templates,action,extreme,0.05,50000,0,no_propensity,0.0489455942357318,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,50000,0,opc,0.0467432283466075,0.047214446646648,selected
ml,kmeans_templates,action,extreme,0.05,50000,1,no_propensity,0.0491184054583416,0.0475615721433665,selected
