scope,metric,opc,no_propensity,delta,lift_pct,frac_opc_wins,n
all_setups,mean_trials,0.04843751293258096,0.049063994926000234,-0.0006264819934192849,-1.274248538287869,0.0,80
axis=action,mean_trials,0.04823189136340508,0.048871778170411204,-0.0006398868070061093,-1.3057107752799662,0.0,20
axis=combined,mean_trials,0.04778171830848093,0.04845429215253606,-0.0006725738440551295,-1.3762030133090266,0.0,20
axis=context,mean_trials,0.048817069287764456,0.04942571493275982,-0.0006086456449953697,-1.233104826007851,0.0,20
axis=metadata,mean_trials,0.04891937277067333,0.04950419444829386,-0.0005848216776205313,-1.1819755385546311,0.0,20
level=brutal,mean_trials,0.04750324646381694,0.04795222040577003,-0.0004489739419530927,-0.9307867105180878,0.0,16
level=extreme,mean_trials,0.04782927609840413,0.04851990549335066,-0.0006906293949465344,-1.4159181926354711,0.0,16
level=high,mean_trials,0.04842959654911319,0.049326343269630354,-0.0008967467205171585,-1.82116599990901,0.0,16
level=low,mean_trials,0.04940533003428066,0.04985387056277151,-0.0004485405284908521,-0.8994065275181911,0.0,16
level=medium,mean_trials,0.049020115517289825,0.04966763489847861,-0.000647519381188787,-1.303965260858584,0.0,16
all_setups,oracle,0.048988123969482336,0.04934580089183104,-0.0003576769223487085,-0.7186383150349626,0.125,80
axis=action,oracle,0.048686576798033024,0.04923439580338717,-0.0005478190053541512,-1.1106250457698763,0.0,20
axis=combined,oracle,0.048506909472676975,0.048783737173484984,-0.0002768277008080094,-0.5487922868216282,0.35,20
axis=context,oracle,0.04938836464316253,0.04960502045083528,-0.00021665580767274832,-0.4333292610212813,0.15,20
axis=metadata,oracle,0.049370644964056826,0.04976005013961675,-0.00038940517555992505,-0.7818066665270643,0.0,20
level=brutal,oracle,0.0482035837955518,0.0483154037205581,-0.00011181992500629742,-0.2235527543993055,0.4375,16
level=extreme,oracle,0.048556876855409305,0.04889762347145062,-0.0003407466160413192,-0.6859091139643383,0.1875,16
level=high,oracle,0.0490803157054171,0.04967253890931153,-0.0005922232038944324,-1.1940482429898345,0.0,16
level=low,oracle,0.049656915415320996,0.04995876404767957,-0.0003018486323585798,-0.6041880866200533,0.0,16
level=medium,oracle,0.04944292807571249,0.049884674310155405,-0.00044174623444291356,-0.8854933772012811,0.0,16
all_setups,selected,0.04838459581371052,0.049184852354498994,-0.0008002565407884725,-1.6235143493725694,0.025,80
axis=action,selected,0.04816695508957301,0.04903968051591263,-0.000872725426339611,-1.773532338704171,0.05,20
axis=combined,selected,0.047822571979417375,0.04858693573403186,-0.000764363754614482,-1.5591837809071047,0.05,20
axis=context,selected,0.04866836528844273,0.0494987677346823,-0.0008304024462395677,-1.6824560345664772,0.0,20
axis=metadata,selected,0.048880490897408944,0.04961402543336919,-0.0007335345359602296,-1.478885243312525,0.0,20
level=brutal,selected,0.04739772441988516,0.048073294089185106,-0.0006755696692999562,-1.3938127651732364,0.125,16
level=extreme,selected,0.047710072765280304,0.048683822815443124,-0.0009737500501628175,-1.9868131740047628,0.0,16
level=high,selected,0.04842777669351815,0.04948185909034635,-0.0010540823968281964,-2.132289321371297,0.0,16
level=low,selected,0.04937083298880611,0.04991018976665619,-0.0005393567778500849,-1.080574463079898,0.0,16
level=medium,selected,0.04901657220106288,0.04977509601086419,-0.0007585238098013086,-1.5240820232336536,0.0,16
