train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.0479278992571062,0.043,0.0521393332597297,0.0521393306553363,0.0442516021430492,0.0442516021430492,0.0,0.0,0.0,0.0,0.0,0.6380441784858704,0.0,0.5599388480186462,0.0,5000.0,opc,ml,kmeans_templates,high,0
5000,0.0485166680411266,0.0416513439655319,0.0446762738872313,0.044676274061203,0.0422067642211914,0.0420679561793804,0.0,0.0,0.0,0.0,0.0,0.6837003827095032,0.2266690135002136,0.598544180393219,0.2466928362846374,5000.0,opc,ml,kmeans_templates,high,0
25000,0.0479484330163395,0.0395443596151381,0.0465950707456899,0.0465950705111026,0.0385282225906848,0.0383503027260303,0.0,0.0,0.0,0.0,0.0,0.6699972748756409,0.2292761504650116,0.6128230690956116,0.2310873121023178,5000.0,opc,ml,kmeans_templates,high,0
50000,0.0471879397902438,0.0738716844785287,0.0459167742601037,0.045916773378849,0.0720246061682701,0.0731373354792594,0.0,0.0,0.0,0.0,0.0,0.6797279715538025,0.2357654422521591,0.6094878315925598,0.2489888072013855,7500.0,opc,ml,kmeans_templates,high,0
100000,0.0481122319869152,0.0343382163457469,0.047292243352107,0.0472922436892986,0.0444006770849227,0.0253356974571943,0.0,0.0,0.0,0.0,0.0,3.3108105659484863,3.279146194458008,3.673593521118164,3.628730058670044,15000.0,opc,ml,kmeans_templates,high,0
1000000,0.046983497976629,0.0024403127142843,0.0447422259285266,0.0447422340512275,0.0347677133977413,0.003617919050157,0.0,0.0,0.0,0.0,0.0,2.8799448013305664,2.806744337081909,3.8705708980560303,3.812644243240357,150000.0,opc,ml,kmeans_templates,high,0
0,0.0479278992571062,0.043,0.0521393332597297,0.0521393306553363,0.0442516021430492,0.0442516021430492,0.0,0.0,0.0,0.0,0.0,0.6380441784858704,0.0,0.5599388480186462,0.0,5000.0,no_propensity,ml,kmeans_templates,high,0
5000,0.0484084952470508,0.0441161646354027,0.0460797776951151,0.0460797809064388,0.0468453057110309,0.0468430630862712,0.0,0.0,0.0,0.0,0.0,0.6680811047554016,0.2234120368957519,0.6008170247077942,0.2440309673547744,5000.0,no_propensity,ml,kmeans_templates,high,0
25000,0.0482981649778516,0.0505129339441361,0.0480491850672882,0.0480491816997528,0.0520469471812248,0.0520439222455024,0.0,0.0,0.0,0.0,0.0,0.6814361810684204,0.2361791133880615,0.5982605814933777,0.2222154885530471,5000.0,no_propensity,ml,kmeans_templates,high,0
50000,0.0478110708090348,0.0506491294618141,0.0481279016091309,0.0481279045343399,0.0525150150060653,0.052076518535614,0.0,0.0,0.0,0.0,0.0,0.6876866817474365,0.2408403158187866,0.6128592491149902,0.2336394041776657,7500.0,no_propensity,ml,kmeans_templates,high,0
100000,0.0482820203319732,0.0556664354007106,0.0489343396536123,0.0489343367516994,0.0548634678125381,0.0550090186297893,0.0,0.0,0.0,0.0,0.0,0.6850196719169617,0.2349825352430343,0.6002816557884216,0.2285735458135604,15000.0,no_propensity,ml,kmeans_templates,high,0
1000000,0.0473255852620076,0.0470766437377734,0.0466217170871427,0.0466217137873172,0.0469104349613189,0.0469183623790741,0.0,0.0,0.0,0.0,0.0,0.6761116981506348,0.2341432571411132,0.602346658706665,0.2086898535490036,150000.0,no_propensity,ml,kmeans_templates,high,0
0,0.0475688386644668,0.0426,0.0502589957221065,0.0502589978277683,0.0441289395093917,0.0441289395093917,0.0,0.0,0.0,0.0,0.0,0.6071553230285645,0.0,0.5618327260017395,0.0,5000.0,opc,ml,kmeans_templates,high,1
5000,0.0463614612734777,0.0524951500188838,0.052100569410548,0.0521005727350711,0.0549231208860874,0.0549192503094673,0.0,0.0,0.0,0.0,0.0,0.6561238765716553,0.236816793680191,0.6100636720657349,0.2389528304338455,5000.0,opc,ml,kmeans_templates,high,1
25000,0.0476788632640581,0.0650816075995399,0.0496214976002782,0.0496214963495731,0.0664467513561248,0.0656999871134758,0.0,0.0,0.0,0.0,0.0,0.6519293189048767,0.2266914993524551,0.6057657599449158,0.2527889609336853,5000.0,opc,ml,kmeans_templates,high,1
50000,0.0469935043268867,0.0426324659216187,0.0471092743616007,0.0471092760562896,0.043627556413412,0.0435938909649848,0.0,0.0,0.0,0.0,0.0,0.6407950520515442,0.2177805304527282,0.6122931838035583,0.2498068958520889,7500.0,opc,ml,kmeans_templates,high,1
100000,0.0434804436840951,0.0419597061031254,0.0453598211908535,0.0453598238527774,0.0415882803499698,0.0410225503146648,0.0,0.0,0.0,0.0,0.0,0.653736412525177,0.238514706492424,0.611198902130127,0.2553103268146515,15000.0,opc,ml,kmeans_templates,high,1
1000000,0.040386368840979,1.634817834482271e-13,0.0430691539516884,0.0430691577494144,-0.011186808347702,-0.0001655430096434,0.0,0.0,0.0,0.0,0.0,3.891480922698975,3.8164541721344,4.969655513763428,4.934820652008057,150000.0,opc,ml,kmeans_templates,high,1
0,0.0475688386644668,0.0426,0.0502589957221065,0.0502589978277683,0.0441289395093917,0.0441289395093917,0.0,0.0,0.0,0.0,0.0,0.6071553230285645,0.0,0.5618327260017395,0.0,5000.0,no_propensity,ml,kmeans_templates,high,1
5000,0.0486690366794911,0.0395280150455504,0.0510260992043091,0.051026102155447,0.0399014949798584,0.0398055240511894,0.0,0.0,0.0,0.0,0.0,0.644047737121582,0.2320177555084228,0.6085069179534912,0.2292583584785461,5000.0,no_propensity,ml,kmeans_templates,high,1
25000,0.0475989938574584,0.0538688451462092,0.0480889388229176,0.0480889379978179,0.0542813464999198,0.0546485222876071,0.0,0.0,0.0,0.0,0.0,0.6592217087745667,0.2423417121171951,0.6015885472297668,0.2288073897361755,5000.0,no_propensity,ml,kmeans_templates,high,1
50000,0.0478419001922528,0.0539653040028106,0.0475916982680577,0.0475916974246501,0.052900306880474,0.0531328357756137,0.0,0.0,0.0,0.0,0.0,0.6623767614364624,0.2428595572710037,0.6063042283058167,0.2366273254156112,7500.0,no_propensity,ml,kmeans_templates,high,1
100000,0.0478874607681949,0.050688035011316,0.0480408318225885,0.0480408333241939,0.0507823564112186,0.0507886596024036,0.0,0.0,0.0,0.0,0.0,0.6559736132621765,0.243691399693489,0.610085129737854,0.2272145748138427,15000.0,no_propensity,ml,kmeans_templates,high,1
1000000,0.0471512391889867,0.0464490876352787,0.0464016111133317,0.0464016087353229,0.0462169349193573,0.04622208699584,0.0,0.0,0.0,0.0,0.0,0.6550261974334717,0.2460546344518661,0.6063084006309509,0.2475593835115432,150000.0,no_propensity,ml,kmeans_templates,high,1
0,0.0477602677212046,0.0428,0.0496069538723452,0.0496069528162479,0.0430728159844875,0.0430728159844875,0.0,0.0,0.0,0.0,0.0,0.5932679772377014,0.0,0.5868936777114868,0.0,5000.0,opc,ml,kmeans_templates,high,2
5000,0.0480800920668931,0.0373843560034056,0.0500585151198968,0.050058513879776,0.0371377728879451,0.0367906205356121,0.0,0.0,0.0,0.0,0.0,0.6413623094558716,0.2374710440635681,0.6168906092643738,0.2314089089632034,5000.0,opc,ml,kmeans_templates,high,2
25000,0.0433450388071945,1.99454048071006e-10,0.0500650932046469,0.050065092742443,0.0500385574996471,0.0138173997402191,0.0,0.0,0.0,0.0,0.0,4.08636474609375,4.035920143127441,5.469547748565674,5.481969356536865,5000.0,opc,ml,kmeans_templates,high,2
50000,0.0497883693346258,0.0043207361038509,0.0585198697300837,0.0585198700428009,-0.1313607692718505,-0.017139047384262,0.0,0.0,0.0,0.0,0.0,7.5949273109436035,7.571136951446533,7.503146648406982,7.484281063079834,7500.0,opc,ml,kmeans_templates,high,2
100000,0.0464154634316464,0.0467328282785021,0.0477091732372681,0.0477091707289218,0.0464665852487087,0.0463398285210132,0.0,0.0,0.0,0.0,0.0,0.6382256150245667,0.2329830527305603,0.626461923122406,0.2293785959482193,15000.0,opc,ml,kmeans_templates,high,2
1000000,0.0325099790198638,0.0199219441338627,0.0382247693672039,0.038224771618843,0.0343648083508014,0.0190623868256807,0.0,0.0,0.0,0.0,0.0,0.7178762555122375,0.4124141633510589,0.7121695280075073,0.3950190842151642,150000.0,opc,ml,kmeans_templates,high,2
0,0.0477602677212046,0.0428,0.0496069538723452,0.0496069528162479,0.0430728159844875,0.0430728159844875,0.0,0.0,0.0,0.0,0.0,0.5932679772377014,0.0,0.5868936777114868,0.0,5000.0,no_propensity,ml,kmeans_templates,high,2
5000,0.0473858449647296,0.0503673844391844,0.0438959285085694,0.0438959300518035,0.0516543351113796,0.0520649179816246,0.0,0.0,0.0,0.0,0.0,0.6304497718811035,0.2311589419841766,0.6421427726745605,0.2462334930896759,5000.0,no_propensity,ml,kmeans_templates,high,2
25000,0.0480903848642521,0.0397502022457111,0.048824923192972,0.0488249249756336,0.0393294543027877,0.0398468859493732,0.0,0.0,0.0,0.0,0.0,0.6510042548179626,0.2358676195144653,0.6328195929527283,0.2260232716798782,5000.0,no_propensity,ml,kmeans_templates,high,2
50000,0.0473195458921442,0.0532559009742666,0.0461883553435901,0.0461883544921875,0.0547549128532409,0.0542106516659259,0.0,0.0,0.0,0.0,0.0,0.6365868449211121,0.231064423918724,0.6390244960784912,0.2561080455780029,7500.0,no_propensity,ml,kmeans_templates,high,2
100000,0.048192762638132,0.0487130869881287,0.0492617121263059,0.0492617115378379,0.0485707372426986,0.0485594980418682,0.0,0.0,0.0,0.0,0.0,0.6403231620788574,0.2290676385164261,0.6338923573493958,0.2301503419876098,15000.0,no_propensity,ml,kmeans_templates,high,2
1000000,0.0482614886438758,0.047651266364333,0.0476581545411419,0.0476581491529941,0.0477110929787159,0.0477114915847778,0.0,0.0,0.0,0.0,0.0,0.6402227282524109,0.2342244833707809,0.634649932384491,0.2288239300251007,150000.0,no_propensity,ml,kmeans_templates,high,2
0,0.0494392152840047,0.0444,0.0532594148725346,0.0532594099640846,0.0449200868606567,0.0449200868606567,0.0,0.0,0.0,0.0,0.0,0.1422200053930282,0.0,0.1189170256257057,0.0,5000.0,opc,ml,kmeans_templates,low,0
5000,0.0496351593428393,0.0473061259795061,0.0476324945727217,0.0476324968039989,0.0467185191810131,0.0466599576175212,0.0,0.0,0.0,0.0,0.0,0.2848390936851501,0.2422509491443634,0.2669875621795654,0.2322767376899719,5000.0,opc,ml,kmeans_templates,low,0
25000,0.0494311541679042,0.0522307068683179,0.0496919508966463,0.0496919490396976,0.0519722402095794,0.0520299077033996,0.0,0.0,0.0,0.0,0.0,0.2694412469863891,0.2311775684356689,0.2478872090578079,0.2147147804498672,5000.0,opc,ml,kmeans_templates,low,0
