train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.04832033973426007,0.044,0.050230076534849635,0.050230078399181366,0.04372776299715042,0.04372776299715042,0.0,0.0,0.0,0.0,0.0,0.31992775201797485,0.0,0.31738343834877014,0.0,5000.0,opc,ml,kmeans_templates,medium,2
5000,0.047985177701094776,0.04542610590998292,0.04964272658814508,0.04964273050427437,0.0442376546561718,0.04439515992999077,0.0,0.0,0.0,0.0,0.0,0.39121881127357483,0.2322205752134323,0.4062659442424774,0.2459665983915329,5000.0,opc,ml,kmeans_templates,medium,2
25000,0.048047648528435724,0.052785323029928916,0.04948618525856097,0.0494861863553524,0.053218163549900055,0.053221557289361954,0.0,0.0,0.0,0.0,0.0,0.39845314621925354,0.22936365008354187,0.3879806399345398,0.2204750031232834,5000.0,opc,ml,kmeans_templates,medium,2
50000,0.049060368734202865,0.03798695774329434,0.055607788414440106,0.055607788264751434,0.03968442231416702,0.03800205513834953,0.0,0.0,0.0,0.0,0.0,86.4278564453125,86.43111419677734,35.487281799316406,35.49752426147461,7500.0,opc,ml,kmeans_templates,medium,2
100000,0.048492529720782135,0.047390340138411646,0.04885408658629966,0.04885409027338028,0.04718542844057083,0.04714064300060272,0.0,0.0,0.0,0.0,0.0,0.39028048515319824,0.22313497960567474,0.39643990993499756,0.23331871628761292,15000.0,opc,ml,kmeans_templates,medium,2
1000000,0.0289993723547618,0.008391941605714177,0.038668154318210454,0.038668155670166016,0.035986147820949554,0.0063942838460206985,0.0,0.0,0.0,0.0,0.0,0.8415864706039429,0.7729383111000061,0.8104297518730164,0.719835102558136,150000.0,opc,ml,kmeans_templates,medium,2
0,0.04832033973426007,0.044,0.050230076534849635,0.050230078399181366,0.04372776299715042,0.04372776299715042,0.0,0.0,0.0,0.0,0.0,0.31992775201797485,0.0,0.31738343834877014,0.0,5000.0,no_propensity,ml,kmeans_templates,medium,2
5000,0.0484656427117493,0.05515994151136244,0.04752327622485227,0.04752327874302864,0.056895092129707336,0.05661153420805931,0.0,0.0,0.0,0.0,0.0,0.3996809720993042,0.23938581347465515,0.3952655792236328,0.236703559756279,5000.0,no_propensity,ml,kmeans_templates,medium,2
25000,0.048795275408624314,0.04894230266185992,0.049133413596312084,0.04913341626524925,0.04854530096054077,0.0485735721886158,0.0,0.0,0.0,0.0,0.0,0.3905755579471588,0.2218606323003769,0.4006209373474121,0.24016423523426056,5000.0,no_propensity,ml,kmeans_templates,medium,2
50000,0.04866286068191793,0.04814307713020732,0.04829483717683227,0.04829484224319458,0.04894546419382095,0.04892241209745407,0.0,0.0,0.0,0.0,0.0,0.38823097944259644,0.2286566197872162,0.37612611055374146,0.21424554288387299,7500.0,no_propensity,ml,kmeans_templates,medium,2
100000,0.047971566376525436,0.04419974354097794,0.04903737617704607,0.049037378281354904,0.044378019869327545,0.04443991556763649,0.0,0.0,0.0,0.0,0.0,0.3969298303127289,0.2357848882675171,0.39514297246932983,0.22735828161239624,15000.0,no_propensity,ml,kmeans_templates,medium,2
1000000,0.04862588865400475,0.04960250796480197,0.047943380122422455,0.04794338345527649,0.04966337978839874,0.049680083990097046,0.0,0.0,0.0,0.0,0.0,0.39536064863204956,0.22510342299938202,0.39882248640060425,0.23870734870433807,150000.0,no_propensity,ml,kmeans_templates,medium,2
