train_size,policy_rewards,ipw,reg_dm,conv_dm,conv_dr,conv_sndr,ipw_var,reg_dm_var,conv_dm_var,conv_dr_var,conv_sndr_var,action_diff_to_real,action_delta,context_diff_to_real,context_delta,val_size,method,dataset,noise_mode,noise_level,seed
0,0.049540028146244766,0.0452,0.05163613207564759,0.05163613334298134,0.04547529295086861,0.04547529295086861,0.0,0.0,0.0,0.0,0.0,0.13360676169395447,0.0,0.1241389811038971,0.0,5000.0,opc,ml,random_centroids,low,1
5000,0.04911819872626749,0.047398528541648464,0.0522432334391367,0.05224323645234108,0.04769573360681534,0.04777596518397331,0.0,0.0,0.0,0.0,0.0,0.287483274936676,0.25307029485702515,0.28677672147750854,0.2572696805000305,5000.0,opc,ml,random_centroids,low,1
25000,0.04969315934293515,0.051884945088504386,0.04995598658767994,0.04995598644018173,0.05188731104135513,0.05191900581121445,0.0,0.0,0.0,0.0,0.0,0.2549542188644409,0.22185426950454712,0.25544285774230957,0.2233239859342575,5000.0,opc,ml,random_centroids,low,1
50000,0.049494362963980056,0.05256223532944774,0.04917274317892561,0.049172744154930115,0.05200432986021042,0.05192474275827408,0.0,0.0,0.0,0.0,0.0,0.290863573551178,0.24516873061656952,0.2774491310119629,0.24463091790676117,7500.0,opc,ml,random_centroids,low,1
100000,0.04967325139484925,0.04945600401902316,0.049258999211634985,0.0492589995265007,0.049299176782369614,0.049299657344818115,0.0,0.0,0.0,0.0,0.0,0.25986379384994507,0.21870405972003937,0.2634955644607544,0.23746706545352936,15000.0,opc,ml,random_centroids,low,1
1000000,0.04164543226461344,1.3310732724611897e-07,0.04219691485662652,0.042196910828351974,0.042196858674287796,-0.00032296896097250283,0.0,0.0,0.0,0.0,0.0,2.095695734024048,2.09663724899292,2.916473388671875,2.9078121185302734,150000.0,opc,ml,random_centroids,low,1
0,0.049540028146244766,0.0452,0.05163613207564759,0.05163613334298134,0.04547529295086861,0.04547529295086861,0.0,0.0,0.0,0.0,0.0,0.13360676169395447,0.0,0.1241389811038971,0.0,5000.0,no_propensity,ml,random_centroids,low,1
5000,0.04939728267450852,0.04952101934775077,0.05160012192393758,0.05160012096166611,0.04986788332462311,0.0499253123998642,0.0,0.0,0.0,0.0,0.0,0.24792762100696564,0.21387483179569244,0.2515961229801178,0.2166052609682083,5000.0,no_propensity,ml,random_centroids,low,1
25000,0.04967027287210679,0.05479213955993598,0.05154016549364603,0.05154016241431236,0.054488588124513626,0.054501403123140335,0.0,0.0,0.0,0.0,0.0,0.2539815902709961,0.22302734851837158,0.2501703202724457,0.20803262293338776,5000.0,no_propensity,ml,random_centroids,low,1
50000,0.04919004726066817,0.04793963464414595,0.048248490130839004,0.04824849218130112,0.047451794147491455,0.04746939241886139,0.0,0.0,0.0,0.0,0.0,0.27383455634117126,0.2386666089296341,0.274339497089386,0.2374439388513565,7500.0,no_propensity,ml,random_centroids,low,1
100000,0.04921736201344912,0.04949251669586942,0.049943829746124296,0.04994383081793785,0.049491528421640396,0.04948953166604042,0.0,0.0,0.0,0.0,0.0,0.276340126991272,0.24011918902397156,0.2621094882488251,0.23226486146450043,15000.0,no_propensity,ml,random_centroids,low,1
1000000,0.04953702668534965,0.04947868620396197,0.04876458764664889,0.04876459017395973,0.049490876495838165,0.04950601980090141,0.0,0.0,0.0,0.0,0.0,0.2897770404815674,0.24435122311115265,0.29387837648391724,0.2689599394798279,150000.0,no_propensity,ml,random_centroids,low,1
