dataset,noise_mode,noise_level,train_size,mean,std,count,se,ci_low,ci_high,significant_positive
ml,kmeans_templates,high,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,kmeans_templates,high,5000,-0.000501718503258033,0.001591134858700554,3,0.0009186421389877621,-0.0023022570956740466,0.0012988200891579805,False
ml,kmeans_templates,high,25000,-0.0016717362039900031,0.0026704770136675095,3,0.0015418006227056447,-0.004693665424493067,0.0013501930165130606,False
ml,kmeans_templates,high,50000,0.00033243218610816416,0.0018535942822007355,3,0.0010701731577969459,-0.0017651072031738498,0.002429971575390178,False
ml,kmeans_templates,high,100000,-0.0021180348785477996,0.002139065788002372,3,0.0012349902085174885,-0.004538615687242077,0.0003025459301464776,False
ml,kmeans_templates,high,1000000,-0.007619489085799433,0.007740177910928924,3,0.0044687938004504095,-0.016378324934682234,0.0011393467630833693,False
ml,kmeans_templates,low,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,kmeans_templates,low,5000,-6.848537586130049e-05,0.00012282989520302868,3,7.091587306000214e-05,-0.00020748048705890467,7.050973533630369e-05,False
ml,kmeans_templates,low,25000,0.00012825371110899986,0.00024575748308549385,3,0.00014188814901477478,-0.0001498470609599587,0.0004063544831779584,False
ml,kmeans_templates,low,50000,6.16537798886994e-05,0.00037836167863617874,3,0.00021844721701163648,-0.0003665027654541081,0.0004898103252315069,False
ml,kmeans_templates,low,100000,-0.002980867771664966,0.005400389040831038,3,0.0031179160664525046,-0.009091983261911876,0.003130247718581943,False
ml,kmeans_templates,low,1000000,-0.011101953302883832,0.009576478076731792,3,0.0055289821954896505,-0.02193875840604355,-0.0002651481997241172,False
ml,kmeans_templates,medium,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,kmeans_templates,medium,5000,-8.791275282060002e-05,0.00034889980041039417,3,0.0002014373936871478,-0.0004827300444474097,0.00030690453880620965,False
ml,kmeans_templates,medium,25000,-0.0029296762122512318,0.004601748157244568,3,0.0026568205373280157,-0.008137044465414143,0.0022776920409116786,False
ml,kmeans_templates,medium,50000,-0.004649007296507898,0.0086416489858048,3,0.004989258368196659,-0.01442795369817335,0.005129939105157553,False
ml,kmeans_templates,medium,100000,-0.006042062011320968,0.010905045896731445,3,0.006296031184003124,-0.018382283131967093,0.006298159109325155,False
ml,kmeans_templates,medium,1000000,-0.017467129533355,0.002051430444532343,3,0.001184393919374542,-0.019788541615329103,-0.015145717451380897,False
ml,random_centroids,high,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,random_centroids,high,5000,-0.0014492692278932004,0.0028239205473240816,3,0.0016303912881676739,-0.004644836152701841,0.0017462976969154402,False
ml,random_centroids,high,25000,-0.0008201529843732657,0.00115369864928517,3,0.0006660882257285006,-0.002125685906801127,0.00048537993805459546,False
ml,random_centroids,high,50000,-0.007369762028212368,0.010093132407767325,3,0.005827272712591001,-0.01879121654489073,0.0040516924884659924,False
ml,random_centroids,high,100000,-0.008513834179166735,0.007533623374565272,3,0.0043495394832785165,-0.017038931566392627,1.1263208059157648e-05,False
ml,random_centroids,high,1000000,-0.007605827927914202,0.004469737377801384,3,0.002580604078280561,-0.012663811921344102,-0.0025478439344843026,False
ml,random_centroids,low,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,random_centroids,low,5000,0.00017096305336576864,0.0003899072819538912,3,0.0002251130741950744,-0.00027025857205657724,0.0006121846787881145,False
ml,random_centroids,low,25000,-0.001708171369713,0.0028780237876102257,3,0.0016616278085109103,-0.0049649618743943845,0.0015486191349683841,False
ml,random_centroids,low,50000,-0.0030143263009215332,0.005720099939536947,3,0.0033025012398832185,-0.009487228731092642,0.0034585761292495747,False
ml,random_centroids,low,100000,-0.0008386440100121342,0.0017903063672233051,3,0.0010336338630482762,-0.0028645663815867555,0.001187278361562487,False
ml,random_centroids,low,1000000,-0.013963800427969136,0.005457936324181288,3,0.0031511410059859033,-0.020140036799701506,-0.0077875640562367655,False
ml,random_centroids,medium,0,0.0,0.0,3,0.0,0.0,0.0,False
ml,random_centroids,medium,5000,2.3033507930203534e-05,0.0005003171481374775,3,0.0002888582401573585,-0.000543128642778219,0.0005891956586386261,False
ml,random_centroids,medium,25000,0.00011162875646796484,0.00017774144421724546,3,0.00010261907066497953,-8.950462203539501e-05,0.0003127621349713247,False
ml,random_centroids,medium,50000,8.966830999909692e-05,0.0004109337571790132,3,0.00023725271532640762,-0.000375347012040662,0.0005546836320388558,False
ml,random_centroids,medium,100000,-0.0029334346387838994,0.003827342897996374,3,0.002209717452439209,-0.007264480845564749,0.0013976115679969498,False
ml,random_centroids,medium,1000000,-0.0163955350980879,0.002509416268701021,3,0.0014488121582433607,-0.01923520692824489,-0.013555863267930915,False
