,value,user_attrs_actual_reward,user_attrs_q_error,user_attrs_r_hat,user_attrs_ess,user_attrs_scores_dict,user_attrs_all_values
1,0.08424054131444285,0.09088037653251269,0.000563418116416887,0.08536737754727662,296.9824013754553,"{'dr_naive_mean': np.float64(0.08536737754727662), 'dr_naive_ci_low': np.float64(0.08426296464352907), 'dr_naive_ci_high': np.float64(0.08647179045102417), 'dr_naive_se': np.float64(0.000563418116416887), 'dr_boot_mean': np.float64(0.08539365474634907), 'dr_boot_std': np.float64(0.0005486969768936212), 'dr_boot_ci_low': np.float64(0.0843970350445044), 'dr_boot_ci_high': np.float64(0.08656024603952668), 'ipw_boot_mean': np.float64(0.07964904199540644), 'ipw_boot_std': np.float64(0.01283533738597812), 'ipw_boot_ci_low': np.float64(0.05734577950625727), 'ipw_boot_ci_high': np.float64(0.10664144160982142), 'cv_rmse_uniform': 0.06957506089948154, 'cv_signed_rmse_uniform': 0.06957506089948154, 'cv_bias_uniform': 0.024534204943526313, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.06747448886204048, 'cv_signed_rmse_exp': 0.06747448886204048, 'cv_bias_exp': 0.023939426185769774, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.06957506089948154, 'loss_exp': 0.06747448886204048, 'score_naive_minus_cv_uniform': np.float64(0.015792316647795082), 'score_naive_minus_cv_exp': np.float64(0.01789288868523614)}","[0.08536738 0.08539365 0.07964904 0.06957506 0.06747449 0.01579232
 0.01789289]"
2,0.07645629786992979,0.08630128090152732,0.0017431768679228782,0.07994265160577554,7138.611306474146,"{'dr_naive_mean': np.float64(0.07994265160577554), 'dr_naive_ci_low': np.float64(0.0765256741065576), 'dr_naive_ci_high': np.float64(0.08335962910499349), 'dr_naive_se': np.float64(0.0017431768679228782), 'dr_boot_mean': np.float64(0.08008141673538335), 'dr_boot_std': np.float64(0.0016953807593208536), 'dr_boot_ci_low': np.float64(0.07695449666464463), 'dr_boot_ci_high': np.float64(0.08338052292988686), 'ipw_boot_mean': np.float64(0.07687701801929447), 'ipw_boot_std': np.float64(0.003298058304251463), 'ipw_boot_ci_low': np.float64(0.07072298720577219), 'ipw_boot_ci_high': np.float64(0.08349036258158862), 'cv_rmse_uniform': 0.020479903327949786, 'cv_signed_rmse_uniform': 0.020479903327949786, 'cv_bias_uniform': 0.003421732334420221, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.02884718658405412, 'cv_signed_rmse_exp': 0.02884718658405412, 'cv_bias_exp': 0.0027472680761631285, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.020479903327949786, 'loss_exp': 0.02884718658405412, 'score_naive_minus_cv_uniform': np.float64(0.05946274827782576), 'score_naive_minus_cv_exp': np.float64(0.05109546502172142)}","[0.07994265 0.08008142 0.07687702 0.0204799  0.02884719 0.05946275
 0.05109547]"
7,0.08172642781242523,0.09132557528785346,0.0007079787618933925,0.08314238533621202,688.8424234003726,"{'dr_naive_mean': np.float64(0.08314238533621202), 'dr_naive_ci_low': np.float64(0.08175460447253151), 'dr_naive_ci_high': np.float64(0.08453016619989252), 'dr_naive_se': np.float64(0.0007079787618933925), 'dr_boot_mean': np.float64(0.08316411905176417), 'dr_boot_std': np.float64(0.0007303143825099334), 'dr_boot_ci_low': np.float64(0.0818038818866057), 'dr_boot_ci_high': np.float64(0.08456040287989415), 'ipw_boot_mean': np.float64(0.08054830874113023), 'ipw_boot_std': np.float64(0.010430359997586333), 'ipw_boot_ci_low': np.float64(0.06169818917127724), 'ipw_boot_ci_high': np.float64(0.10441052039350107), 'cv_rmse_uniform': 0.047245123135927394, 'cv_signed_rmse_uniform': -0.047245123135927394, 'cv_bias_uniform': -0.00551854891773462, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.06175874902518554, 'cv_signed_rmse_exp': 0.06175874902518554, 'cv_bias_exp': 0.020002993613743636, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.047245123135927394, 'loss_exp': 0.06175874902518554, 'score_naive_minus_cv_uniform': np.float64(0.03589726220028462), 'score_naive_minus_cv_exp': np.float64(0.021383636311026473)}","[0.08314239 0.08316412 0.08054831 0.04724512 0.06175875 0.03589726
 0.02138364]"
9,0.07849646759654473,0.08680515214405297,0.0011674064687649524,0.08083128053407464,2606.131682686682,"{'dr_naive_mean': np.float64(0.08083128053407464), 'dr_naive_ci_low': np.float64(0.07854292889884183), 'dr_naive_ci_high': np.float64(0.08311963216930744), 'dr_naive_se': np.float64(0.0011674064687649524), 'dr_boot_mean': np.float64(0.08086161338228845), 'dr_boot_std': np.float64(0.0011453421181558197), 'dr_boot_ci_low': np.float64(0.07862678554269584), 'dr_boot_ci_high': np.float64(0.08316255704198815), 'ipw_boot_mean': np.float64(0.0756789576137534), 'ipw_boot_std': np.float64(0.005093109205007469), 'ipw_boot_ci_low': np.float64(0.066657946153008), 'ipw_boot_ci_high': np.float64(0.08640688640318119), 'cv_rmse_uniform': 0.026945979533640238, 'cv_signed_rmse_uniform': 0.026945979533640238, 'cv_bias_uniform': 0.002754048372072626, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.043121955023734324, 'cv_signed_rmse_exp': 0.043121955023734324, 'cv_bias_exp': 0.0010314507065633887, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.026945979533640238, 'loss_exp': 0.043121955023734324, 'score_naive_minus_cv_uniform': np.float64(0.0538853010004344), 'score_naive_minus_cv_exp': np.float64(0.037709325510340314)}","[0.08083128 0.08086161 0.07567896 0.02694598 0.04312196 0.0538853
 0.03770933]"
10,0.07598168147184234,0.08614904336144068,0.001991845233365078,0.07996537193857249,9782.981541344325,"{'dr_naive_mean': np.float64(0.07996537193857249), 'dr_naive_ci_low': np.float64(0.07606095439519209), 'dr_naive_ci_high': np.float64(0.0838697894819529), 'dr_naive_se': np.float64(0.001991845233365078), 'dr_boot_mean': np.float64(0.07994466088063976), 'dr_boot_std': np.float64(0.001959466037116954), 'dr_boot_ci_low': np.float64(0.07633826062249373), 'dr_boot_ci_high': np.float64(0.08378643667759132), 'ipw_boot_mean': np.float64(0.07758546995319608), 'ipw_boot_std': np.float64(0.0026330883540306503), 'ipw_boot_ci_low': np.float64(0.07253870478422156), 'ipw_boot_ci_high': np.float64(0.08296861089942965), 'cv_rmse_uniform': 0.019094341808729154, 'cv_signed_rmse_uniform': 0.019094341808729154, 'cv_bias_uniform': 0.0028741714321415834, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.026175700468225864, 'cv_signed_rmse_exp': 0.026175700468225864, 'cv_bias_exp': 0.002310931199365173, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.019094341808729154, 'loss_exp': 0.026175700468225864, 'score_naive_minus_cv_uniform': np.float64(0.06087103012984334), 'score_naive_minus_cv_exp': np.float64(0.05378967147034663)}","[0.07996537 0.07994466 0.07758547 0.01909434 0.0261757  0.06087103
 0.05378967]"
11,0.0771250928279636,0.0864510337995844,0.00151757739052512,0.08016024760901384,5069.294647644226,"{'dr_naive_mean': np.float64(0.08016024760901384), 'dr_naive_ci_low': np.float64(0.0771854904904633), 'dr_naive_ci_high': np.float64(0.08313500472756438), 'dr_naive_se': np.float64(0.00151757739052512), 'dr_boot_mean': np.float64(0.0801494347563659), 'dr_boot_std': np.float64(0.001482978373259781), 'dr_boot_ci_low': np.float64(0.07751362855531863), 'dr_boot_ci_high': np.float64(0.08306984359987658), 'ipw_boot_mean': np.float64(0.0766291275411773), 'ipw_boot_std': np.float64(0.003986139140527334), 'ipw_boot_ci_low': np.float64(0.06885418144176662), 'ipw_boot_ci_high': np.float64(0.08456356935810293), 'cv_rmse_uniform': 0.025301094119895035, 'cv_signed_rmse_uniform': 0.025301094119895035, 'cv_bias_uniform': 0.003668197282254831, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.03283353174156203, 'cv_signed_rmse_exp': 0.03283353174156203, 'cv_bias_exp': 4.908587051534674e-05, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.025301094119895035, 'loss_exp': 0.03283353174156203, 'score_naive_minus_cv_uniform': np.float64(0.05485915348911881), 'score_naive_minus_cv_exp': np.float64(0.04732671586745181)}","[0.08016025 0.08014943 0.07662913 0.02530109 0.03283353 0.05485915
 0.04732672]"
13,0.07596947376913599,0.08620803900102285,0.0019460057335301526,0.0798614852361963,9290.253554327486,"{'dr_naive_mean': np.float64(0.0798614852361963), 'dr_naive_ci_low': np.float64(0.07604692233831609), 'dr_naive_ci_high': np.float64(0.0836760481340765), 'dr_naive_se': np.float64(0.0019460057335301526), 'dr_boot_mean': np.float64(0.07990672745173576), 'dr_boot_std': np.float64(0.0019822385144730487), 'dr_boot_ci_low': np.float64(0.07641359516475643), 'dr_boot_ci_high': np.float64(0.08377916554397791), 'ipw_boot_mean': np.float64(0.07714792456428098), 'ipw_boot_std': np.float64(0.0029278935389004408), 'ipw_boot_ci_low': np.float64(0.07155278130195364), 'ipw_boot_ci_high': np.float64(0.0828354946581526), 'cv_rmse_uniform': 0.018830348575267452, 'cv_signed_rmse_uniform': 0.018830348575267452, 'cv_bias_uniform': 0.0028153878526732245, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.027333646051559822, 'cv_signed_rmse_exp': 0.027333646051559822, 'cv_bias_exp': 0.002973404005227372, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.018830348575267452, 'loss_exp': 0.027333646051559822, 'score_naive_minus_cv_uniform': np.float64(0.06103113666092884), 'score_naive_minus_cv_exp': np.float64(0.05252783918463647)}","[0.07986149 0.07990673 0.07714792 0.01883035 0.02733365 0.06103114
 0.05252784]"
15,0.07808256401265945,0.08673691771550765,0.001263548560099745,0.08060966113285895,3176.5260858782663,"{'dr_naive_mean': np.float64(0.08060966113285895), 'dr_naive_ci_low': np.float64(0.07813285164870448), 'dr_naive_ci_high': np.float64(0.08308647061701341), 'dr_naive_se': np.float64(0.001263548560099745), 'dr_boot_mean': np.float64(0.08070480443212003), 'dr_boot_std': np.float64(0.0012858249578811764), 'dr_boot_ci_low': np.float64(0.0782525907161572), 'dr_boot_ci_high': np.float64(0.08314093321059902), 'ipw_boot_mean': np.float64(0.0765495700180383), 'ipw_boot_std': np.float64(0.005004591401868348), 'ipw_boot_ci_low': np.float64(0.06761982270262533), 'ipw_boot_ci_high': np.float64(0.08699187038378112), 'cv_rmse_uniform': 0.02868504155255769, 'cv_signed_rmse_uniform': 0.02868504155255769, 'cv_bias_uniform': 0.001917731383642257, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.039416254575960194, 'cv_signed_rmse_exp': 0.039416254575960194, 'cv_bias_exp': 0.012113957167287703, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.02868504155255769, 'loss_exp': 0.039416254575960194, 'score_naive_minus_cv_uniform': np.float64(0.05192461958030126), 'score_naive_minus_cv_exp': np.float64(0.04119340655689875)}","[0.08060966 0.0807048  0.07654957 0.02868504 0.03941625 0.05192462
 0.04119341]"
16,0.0810352617774365,0.09005822573496167,0.0007089639175968312,0.08245318961263016,874.6871933695671,"{'dr_naive_mean': np.float64(0.08245318961263016), 'dr_naive_ci_low': np.float64(0.0810634776454949), 'dr_naive_ci_high': np.float64(0.08384290157976543), 'dr_naive_se': np.float64(0.0007089639175968312), 'dr_boot_mean': np.float64(0.08245127897836177), 'dr_boot_std': np.float64(0.0007267945623486994), 'dr_boot_ci_low': np.float64(0.08112891719129703), 'dr_boot_ci_high': np.float64(0.08406996203974151), 'ipw_boot_mean': np.float64(0.08447160546411876), 'ipw_boot_std': np.float64(0.009553408277605053), 'ipw_boot_ci_low': np.float64(0.0666176753755073), 'ipw_boot_ci_high': np.float64(0.10456636139288074), 'cv_rmse_uniform': 0.056884840190487215, 'cv_signed_rmse_uniform': -0.056884840190487215, 'cv_bias_uniform': -0.00634962120073976, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.06960928220647282, 'cv_signed_rmse_exp': 0.06960928220647282, 'cv_bias_exp': 0.002072970292840256, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.056884840190487215, 'loss_exp': 0.06960928220647282, 'score_naive_minus_cv_uniform': np.float64(0.02556834942214295), 'score_naive_minus_cv_exp': np.float64(0.012843907406157345)}","[0.08245319 0.08245128 0.08447161 0.05688484 0.06960928 0.02556835
 0.01284391]"
17,0.07604813188557955,0.08613269558317047,0.0020055091496407017,0.08005915018486094,9927.052426480572,"{'dr_naive_mean': np.float64(0.08005915018486094), 'dr_naive_ci_low': np.float64(0.07612794861553104), 'dr_naive_ci_high': np.float64(0.08399035175419084), 'dr_naive_se': np.float64(0.0020055091496407017), 'dr_boot_mean': np.float64(0.0800376918673846), 'dr_boot_std': np.float64(0.00209688732810003), 'dr_boot_ci_low': np.float64(0.07598565457441805), 'dr_boot_ci_high': np.float64(0.08407256905545678), 'ipw_boot_mean': np.float64(0.0777066181003625), 'ipw_boot_std': np.float64(0.0026386969448690518), 'ipw_boot_ci_low': np.float64(0.07258243189303461), 'ipw_boot_ci_high': np.float64(0.08256704156787255), 'cv_rmse_uniform': 0.019070424700536638, 'cv_signed_rmse_uniform': 0.019070424700536638, 'cv_bias_uniform': 0.0018581348130495984, 'cv_bias_lb_signed_uniform': 0.0, 'cv_rmse_exp': 0.02666512697249907, 'cv_signed_rmse_exp': 0.02666512697249907, 'cv_bias_exp': 0.0011973624387442384, 'cv_bias_lb_signed_exp': 0.0, 'loss_uniform': 0.019070424700536638, 'loss_exp': 0.02666512697249907, 'score_naive_minus_cv_uniform': np.float64(0.0609887254843243), 'score_naive_minus_cv_exp': np.float64(0.05339402321236187)}","[0.08005915 0.08003769 0.07770662 0.01907042 0.02666513 0.06098873
 0.05339402]"
